"wz11cd","lsoa11cd","msoa11cd","date","Welsh Language Skills: All categories: All usual residents (Workplace population); measures: Value","Welsh Language Skills: No skills in Welsh; measures: Value","Welsh Language Skills: Can understand spoken Welsh only; measures: Value","Welsh Language Skills: Can speak Welsh: Total; measures: Value","Welsh Language Skills: Can speak but cannot read or write Welsh; measures: Value","Welsh Language Skills: Can speak and read but cannot write Welsh; measures: Value","Welsh Language Skills: Can speak, read and write Welsh; measures: Value","Welsh Language Skills: Can speak and other combinations of skills in Welsh; measures: Value","Welsh Language Skills: Can read but cannot speak or write Welsh; measures: Value","Welsh Language Skills: Can read and write but cannot speak Welsh; measures: Value","Welsh Language Skills: Can write but cannot speak or read Welsh; measures: Value","Welsh Language Skills: Works in Wales but lives in England; measures: Value"
"E33018163","E01009102","E02001854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018164","E01009102","E02001854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018165","E01009102","E02001854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018166","E01009102","E02001854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018167","E01009102","E02001854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018168","E01009102","E02001854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018169","E01009101","E02001855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018170","E01009101","E02001855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018171","E01009101","E02001855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018172","E01009119","E02001949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018173","E01009119","E02001949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018174","E01009119","E02001949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018175","E01009119","E02001949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018176","E01009119","E02001949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018177","E01009116","E02001953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018178","E01033627","E02006898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018179","E01033627","E02006898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018180","E01033622","E02006899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018181","E01033627","E02006898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018182","E01033627","E02006898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018183","E01033627","E02006898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018184","E01009146","E02006897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018185","E01009146","E02006897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018186","E01009146","E02006897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018187","E01009146","E02006897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018188","E01033639","E02006897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018189","E01033639","E02006897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018190","E01033639","E02006897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018191","E01033639","E02006897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018192","E01033639","E02006897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018193","E01033639","E02006897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018194","E01033623","E02006899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018195","E01009159","E02001956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018196","E01009159","E02001956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018197","E01009184","E02001918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018198","E01009188","E02001918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018199","E01009178","E02001930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018200","E01009178","E02001930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018201","E01009178","E02001930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018202","E01009203","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018203","E01009199","E02001878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018204","E01009204","E02001878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018205","E01009204","E02001878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018206","E01009204","E02001878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018207","E01009204","E02001878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018208","E01033644","E02001878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018209","E01033644","E02001878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018210","E01033644","E02001878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018211","E01009194","E02001877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018212","E01009198","E02001884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018213","E01009198","E02001884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018214","E01009198","E02001884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018215","E01009198","E02001884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018216","E01009200","E02006900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018217","E01009200","E02006900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018218","E01009200","E02006900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018219","E01009200","E02006900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018220","E01009200","E02006900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018221","E01009200","E02006900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018222","E01009200","E02006900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018223","E01009200","E02006900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018224","E01009202","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018225","E01009202","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018226","E01009202","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018227","E01009202","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018228","E01009203","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018229","E01009203","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018230","E01009203","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018231","E01009203","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018232","E01009203","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018233","E01009203","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018234","E01009203","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018235","E01009203","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018236","E01009201","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018237","E01009201","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018238","E01009201","E02001869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018239","E01009219","E02001946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018240","E01009232","E02001848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018241","E01009222","E02001834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018242","E01009222","E02001834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018243","E01009223","E02001839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018244","E01009239","E02001859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018245","E01009239","E02001859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018246","E01009239","E02001859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018247","E01009239","E02001859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018248","E01009239","E02001859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018249","E01009240","E02001850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018250","E01009242","E02001850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018251","E01009284","E02001922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018252","E01009280","E02001926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018253","E01009281","E02001925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018254","E01009281","E02001925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018255","E01009303","E02001883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018256","E01009306","E02001872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018257","E01009315","E02001907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018258","E01009315","E02001907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018259","E01009320","E02001907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018260","E01009320","E02001907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018261","E01009320","E02001907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018262","E01009320","E02001907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018263","E01009321","E02001895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018264","E01009322","E02001895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018265","E01009322","E02001895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018266","E01009322","E02001895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018267","E01009332","E02006900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018268","E01009329","E02001896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018269","E01009329","E02001896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018270","E01009339","E02006901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018271","E01009338","E02001896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018272","E01009340","E02006901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018273","E01009339","E02006901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018274","E01009339","E02006901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018275","E01009341","E02001892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018276","E01009332","E02006900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018277","E01009332","E02006900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018278","E01009349","E02001862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018279","E01033635","E02001865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018280","E01033635","E02001865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018281","E01009354","E02001862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018282","E01009379","E02001897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018283","E01009364","E02001897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018284","E01009364","E02001897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018285","E01009364","E02001897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018286","E01009378","E02006896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018287","E01009367","E02001909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018288","E01009367","E02001909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018289","E01009367","E02001909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018290","E01009371","E02001903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018291","E01033641","E02006901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018292","E01009400","E02001857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018293","E01009400","E02001857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018294","E01009400","E02001857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018295","E01009423","E02001828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018296","E01009424","E02001830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018297","E01009424","E02001830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018298","E01009432","E02001832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018299","E01009449","E02001835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018300","E01009450","E02001838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018301","E01009443","E02001847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018302","E01009443","E02001847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018303","E01009441","E02001847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018304","E01009441","E02001847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018305","E01009449","E02001835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018306","E01009449","E02001835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018307","E01009449","E02001835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018308","E01009449","E02001835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018309","E01009449","E02001835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018310","E01009449","E02001835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018311","E01009474","E02001836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018312","E01009456","E02001844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018313","E01009478","E02001874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018314","E01009483","E02001877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019808","E01009378","E02006896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019809","E01033559","E02001875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019810","E01033559","E02001875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019811","E01033559","E02001875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019812","E01033559","E02001875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019813","E01033559","E02001875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019814","E01033559","E02001875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019815","E01033559","E02001875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019816","E01033559","E02001875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019817","E01033559","E02001875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019818","E01033559","E02001875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019819","E01033561","E02001876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019820","E01033561","E02001876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019821","E01033561","E02001876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019822","E01033561","E02001876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019823","E01033561","E02001876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019824","E01033561","E02001876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019825","E01033562","E02001913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019826","E01033562","E02001913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019827","E01033562","E02001913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019828","E01033562","E02001913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019829","E01033562","E02001913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019830","E01033616","E02006896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019831","E01033615","E02006896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019832","E01033615","E02006896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019833","E01033615","E02006896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33019834","E01033615","E02006896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
