"wz11cd","lsoa11cd","msoa11cd","date","NS-SeC: All categories: NS-SeC; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: L15 Full-time students; measures: Value"
"E33018114","E01008910","E02001876",2011,2456,121,45,0,45,76,39,34,2,1,408,136,110,18,5,3,152,120,501,241,254,2,4,36,12,12,0,24,23,1,143,94,49,44,5,985,40,896,10,23,0,14,2,197,12,11,87,87,0,65
"E33018115","E01033638","E02001875",2011,821,73,27,0,27,46,12,32,2,0,187,68,51,14,1,2,95,24,148,125,21,2,0,57,16,16,0,41,41,0,78,54,24,17,7,131,39,19,18,25,0,30,0,140,1,16,15,108,0,7
"E33018116","E01008913","E02001876",2011,363,46,17,0,17,29,17,12,0,0,57,35,19,13,1,2,10,12,43,30,12,0,1,13,7,7,0,6,6,0,70,48,22,14,8,72,2,7,16,41,0,6,0,59,3,11,23,22,0,3
"E33018117","E01008899","E02001863",2011,383,44,24,0,24,20,14,6,0,0,39,20,13,6,1,0,15,4,24,20,3,0,1,9,8,8,0,1,1,0,49,22,27,24,3,129,13,5,56,52,0,3,0,83,0,13,28,42,0,6
"E33018118","E01008899","E02001863",2011,256,40,15,1,14,25,20,5,0,0,36,22,14,8,0,0,10,4,17,15,1,1,0,16,8,8,0,8,7,1,56,18,38,34,4,57,6,14,14,14,0,9,0,29,0,0,15,8,6,5
"E33018119","E01008899","E02001863",2011,452,40,15,0,15,25,3,22,0,0,94,53,28,25,0,0,31,10,91,60,28,2,1,11,3,3,0,8,8,0,46,31,15,15,0,53,9,5,15,11,0,13,0,112,1,10,29,72,0,5
"E33018120","E01008899","E02001863",2011,465,44,23,1,22,21,8,12,1,0,64,25,12,10,1,2,32,7,45,30,13,2,0,53,26,26,0,27,27,0,104,42,62,54,8,82,6,11,26,34,0,5,0,65,0,4,32,29,0,8
"E33018121","E01008901","E02001863",2011,659,30,10,0,10,20,10,8,2,0,187,134,103,29,2,0,40,13,67,43,22,1,1,15,8,8,0,7,7,0,72,54,18,18,0,73,20,43,1,1,0,7,1,71,31,5,7,28,0,144
"E33018122","E01008901","E02001863",2011,667,156,21,0,21,135,73,62,0,0,189,121,104,16,1,0,42,26,147,75,49,19,4,34,11,11,0,23,23,0,34,13,21,21,0,64,18,14,5,11,0,11,5,32,3,3,10,16,0,11
"E33018123","E01008901","E02001863",2011,314,20,5,0,5,15,10,1,4,0,99,88,84,0,3,1,9,2,35,21,11,3,0,10,1,1,0,9,8,1,6,4,2,2,0,31,2,18,2,2,0,7,0,109,5,2,91,11,0,4
"E33018124","E01008901","E02001863",2011,509,85,20,0,20,65,24,39,2,0,134,61,43,17,0,1,50,23,168,85,82,0,1,21,5,5,0,16,16,0,23,11,12,9,3,35,12,5,5,8,0,5,0,37,2,0,16,19,0,6
"E33018125","E01008901","E02001863",2011,471,57,21,0,21,36,16,18,1,1,96,49,29,14,5,1,36,11,48,36,8,2,2,24,4,4,0,20,20,0,70,19,51,50,1,106,19,5,40,38,0,4,0,61,1,4,27,29,0,9
"E33018126","E01008917","E02001928",2011,261,24,7,0,7,17,15,2,0,0,39,32,24,5,3,0,3,4,13,11,1,0,1,31,4,4,0,27,27,0,26,8,18,15,3,80,0,2,23,54,1,0,0,44,1,10,10,23,0,4
"E33018127","E01008961","E02001942",2011,356,24,12,1,11,12,1,11,0,0,55,25,18,6,1,0,17,13,138,26,107,4,1,14,7,7,0,7,7,0,14,11,3,3,0,81,9,64,0,1,0,7,0,11,5,1,0,5,0,19
"E33018128","E01008961","E02001942",2011,371,17,6,0,6,11,7,1,3,0,87,24,19,1,4,0,45,18,46,34,12,0,0,25,15,15,0,10,10,0,30,22,8,8,0,96,74,12,1,2,0,4,3,41,22,3,4,12,0,29
"E33018129","E01008950","E02001939",2011,771,46,14,0,14,32,21,9,1,1,205,62,58,2,1,1,10,133,357,140,213,3,1,7,0,0,0,7,7,0,80,13,67,67,0,50,6,35,2,3,0,4,0,18,2,2,2,12,0,8
"E33018130","E01008991","E02001890",2011,794,223,96,0,96,127,59,57,9,2,249,194,176,11,7,0,32,23,82,72,3,7,0,21,9,9,0,12,12,0,65,54,11,11,0,59,6,35,2,1,0,14,1,58,40,1,1,16,0,37
"E33018131","E01008994","E02001900",2011,935,263,47,0,47,216,105,106,4,1,310,202,157,42,3,0,89,19,271,215,48,5,3,6,2,2,0,4,4,0,21,13,8,7,1,33,2,19,0,5,0,7,0,18,0,6,2,10,0,13
"E33018132","E01008994","E02001900",2011,333,89,14,0,14,75,49,19,7,0,80,48,31,13,3,1,18,14,114,74,36,2,2,5,2,2,0,3,3,0,13,9,4,4,0,17,0,8,0,4,0,5,0,9,3,2,1,3,0,6
"E33018133","E01008994","E02001900",2011,739,76,28,0,28,48,20,20,7,1,186,70,62,5,3,0,34,82,398,382,13,1,2,4,1,1,0,3,3,0,7,5,2,1,1,42,9,21,0,0,0,11,1,20,2,2,0,16,0,6
"E33018134","E01008994","E02001900",2011,206,13,6,0,6,7,4,2,1,0,45,26,21,5,0,0,15,4,34,27,6,1,0,7,5,5,0,2,2,0,29,21,8,8,0,31,7,9,0,4,1,10,0,34,15,1,1,17,0,13
"E33018135","E01008994","E02001900",2011,308,89,17,0,17,72,39,23,4,6,116,65,58,5,2,0,33,18,61,57,3,1,0,10,6,6,0,4,4,0,8,4,4,4,0,8,2,5,0,1,0,0,0,5,0,0,2,3,0,11
"E33018136","E01008990","E02001890",2011,741,228,43,2,41,185,66,113,6,0,223,167,133,27,4,3,40,16,239,224,6,4,5,7,2,2,0,5,5,0,10,5,5,5,0,15,1,10,0,0,0,3,1,6,1,0,0,5,0,13
"E33018137","E01008990","E02001890",2011,251,46,7,3,4,39,14,5,18,2,72,49,43,2,3,1,12,11,56,32,24,0,0,14,3,3,0,11,11,0,7,3,4,4,0,29,3,20,0,0,2,4,0,14,0,2,4,8,0,13
"E33018138","E01008990","E02001890",2011,415,146,16,0,16,130,90,22,18,0,130,103,87,12,4,0,23,4,91,85,2,3,1,4,2,2,0,2,2,0,5,5,0,0,0,24,2,13,0,0,0,7,2,4,0,0,0,4,0,11
"E33018139","E01008990","E02001890",2011,1722,353,47,0,47,306,187,105,12,2,492,292,247,33,9,3,105,95,653,489,157,4,3,13,5,5,0,8,8,0,33,21,12,10,2,85,16,47,2,1,0,15,4,40,10,2,13,15,0,53
"E33018140","E01008990","E02001890",2011,564,73,17,0,17,56,31,20,3,2,166,118,90,19,9,0,37,11,190,161,25,2,2,19,15,15,0,4,4,0,13,11,2,2,0,43,3,31,1,2,0,5,1,32,2,3,0,27,0,28
"E33018141","E01008988","E02001890",2011,392,65,14,0,14,51,23,26,1,1,108,61,30,24,0,7,31,16,97,84,9,4,0,12,5,5,0,7,7,0,22,14,8,8,0,65,13,41,1,0,0,9,1,11,6,1,1,3,0,12
"E33018142","E01033631","E02001905",2011,7744,3449,129,0,129,3320,3050,239,26,5,1563,1244,1153,52,37,2,195,124,811,685,57,67,2,46,8,8,0,38,38,0,205,142,63,61,2,308,21,183,17,15,0,50,22,227,27,6,27,162,5,1135
"E33018143","E01033631","E02001905",2011,210,26,1,0,1,25,23,1,1,0,99,86,85,1,0,0,7,6,30,21,6,3,0,0,0,0,0,0,0,0,6,2,4,4,0,24,4,16,0,0,0,3,1,20,1,0,0,19,0,5
"E33018144","E01033631","E02001905",2011,373,40,14,0,14,26,11,9,6,0,149,86,80,3,3,0,17,46,81,26,54,1,0,13,1,1,0,12,12,0,16,12,4,4,0,29,3,22,0,1,0,3,0,26,2,1,5,17,1,19
"E33018145","E01009007","E02001849",2011,233,5,2,0,2,3,3,0,0,0,57,15,10,4,1,0,35,7,56,51,4,0,1,15,11,11,0,4,4,0,10,9,1,1,0,50,39,4,2,3,0,2,0,31,12,2,2,15,0,9
"E33018146","E01009007","E02001849",2011,282,15,6,0,6,9,7,1,0,1,58,37,30,2,5,0,16,5,41,34,5,2,0,24,11,11,0,13,13,0,14,8,6,5,1,75,30,32,1,2,0,10,0,44,1,7,0,36,0,11
"E33018147","E01009007","E02001849",2011,384,16,3,0,3,13,9,2,2,0,110,57,51,6,0,0,42,11,45,25,18,2,0,37,14,14,0,23,23,0,19,19,0,0,0,115,80,30,1,1,0,2,1,24,8,0,7,9,0,18
"E33018148","E01009007","E02001849",2011,487,23,10,0,10,13,4,9,0,0,128,56,51,5,0,0,16,56,235,220,13,0,2,11,1,1,0,10,10,0,10,6,4,3,1,57,4,40,0,0,0,13,0,20,13,0,1,6,0,3
"E33018149","E01009007","E02001849",2011,507,72,23,0,23,49,43,6,0,0,254,209,206,2,1,0,18,27,105,71,32,2,0,4,2,2,0,2,2,0,12,9,3,3,0,24,1,15,1,4,0,0,3,28,20,1,1,6,0,8
"E33018150","E01009007","E02001849",2011,271,22,13,0,13,9,3,5,1,0,53,18,17,1,0,0,7,28,122,20,102,0,0,17,7,7,0,10,8,2,6,5,1,1,0,28,2,21,0,2,0,2,1,18,0,4,8,6,0,5
"E33018151","E01009007","E02001849",2011,398,27,4,0,4,23,7,9,7,0,34,16,11,5,0,0,15,3,31,27,2,2,0,18,9,9,0,9,9,0,24,17,7,7,0,89,26,41,5,7,0,10,0,154,3,33,13,105,0,21
"E33018152","E01009007","E02001849",2011,407,12,8,0,8,4,0,3,1,0,93,20,12,3,4,1,50,23,53,40,13,0,0,20,10,10,0,10,10,0,27,23,4,2,2,132,119,10,0,1,0,2,0,33,5,0,12,16,0,37
"E33018153","E01009014","E02001916",2011,1018,390,94,0,94,296,215,71,9,1,256,209,179,22,6,2,31,16,89,65,5,14,5,31,10,10,0,21,21,0,91,22,69,59,10,94,6,8,14,55,0,10,1,55,2,13,16,24,0,12
"E33018154","E01009026","E02001916",2011,370,22,5,0,5,17,12,4,1,0,192,170,163,4,2,1,17,5,44,16,26,2,0,20,5,5,0,15,15,0,20,8,12,12,0,27,2,12,6,0,0,4,3,33,6,1,14,12,0,12
"E33018155","E01033641","E02006901",2011,345,60,19,0,19,41,13,23,3,2,88,64,46,16,1,1,15,9,48,27,7,4,10,25,8,8,0,17,17,0,36,8,28,27,1,35,1,8,13,10,0,3,0,49,1,7,20,21,0,4
"E33018156","E01009015","E02001915",2011,315,23,4,0,4,19,8,3,8,0,138,127,122,2,2,1,9,2,50,20,29,1,0,16,7,7,0,9,9,0,18,12,6,6,0,40,5,23,1,1,0,8,2,22,3,1,0,18,0,8
"E33018157","E01009045","E02001923",2011,410,47,8,0,8,39,35,1,3,0,181,149,143,2,4,0,15,17,69,35,25,6,3,22,4,4,0,18,18,0,30,18,12,11,1,35,8,8,0,0,0,3,16,16,4,1,4,7,0,10
"E33018158","E01009069","E02001901",2011,491,55,5,0,5,50,46,4,0,0,111,33,27,2,4,0,55,23,71,51,16,4,0,14,6,6,0,8,8,0,40,31,9,9,0,126,110,9,0,0,0,5,2,27,12,1,1,13,0,47
"E33018159","E01009069","E02001901",2011,261,18,5,0,5,13,7,1,5,0,55,20,10,5,3,2,28,7,27,26,0,1,0,17,11,11,0,6,6,0,25,18,7,6,1,45,26,12,0,4,0,3,0,39,27,2,3,7,0,35
"E33018160","E01009098","E02001851",2011,842,114,33,1,32,81,59,19,2,1,130,70,55,12,3,0,42,18,37,21,6,3,7,28,8,8,0,20,20,0,125,67,58,54,4,292,10,27,97,155,0,3,0,95,5,13,34,43,0,21
"E33018161","E01009102","E02001854",2011,1571,186,52,0,52,134,59,74,0,1,310,155,116,35,3,1,116,39,277,116,136,9,16,25,9,9,0,16,16,0,157,108,49,38,11,270,31,36,122,39,0,42,0,312,2,16,95,199,0,34
"E33018162","E01009102","E02001854",2011,1166,31,8,0,8,23,7,15,1,0,184,21,13,7,1,0,108,55,96,37,57,1,1,15,3,3,0,12,12,0,130,101,29,26,3,362,289,30,15,5,0,23,0,136,3,7,39,87,0,212
"E33018163","E01009102","E02001854",2011,388,50,22,1,21,28,15,11,2,0,80,24,15,8,1,0,51,5,43,29,10,0,4,17,4,4,0,13,13,0,39,25,14,14,0,58,7,15,6,19,0,11,0,91,1,7,42,41,0,10
"E33018164","E01009102","E02001854",2011,584,72,24,0,24,48,13,33,1,1,84,39,31,6,1,1,31,14,70,39,30,0,1,56,19,19,0,37,37,0,90,43,47,47,0,91,3,54,8,3,0,23,0,108,3,5,71,27,2,13
"E33018165","E01009102","E02001854",2011,313,23,3,0,3,20,6,14,0,0,71,31,17,13,0,1,39,1,39,25,13,1,0,24,8,8,0,16,16,0,33,17,16,14,2,33,11,0,11,5,0,6,0,84,2,5,40,37,0,6
"E33018166","E01009102","E02001854",2011,304,42,22,0,22,20,6,14,0,0,48,22,14,7,1,0,16,10,32,23,7,1,1,7,3,3,0,4,4,0,72,33,39,39,0,40,1,9,8,10,0,12,0,58,1,14,15,28,0,5
"E33018167","E01009102","E02001854",2011,1483,270,42,1,41,228,103,117,4,4,593,409,294,108,6,1,121,63,362,176,134,46,6,31,18,17,1,13,13,0,43,26,17,14,3,99,46,24,6,8,0,14,1,43,7,5,14,16,1,42
"E33018168","E01009102","E02001854",2011,1028,86,40,0,40,46,27,17,1,1,161,70,53,15,2,0,59,32,106,47,44,11,4,15,6,6,0,9,9,0,164,77,87,67,20,322,67,16,149,65,0,25,0,127,31,15,38,43,0,47
"E33018169","E01009101","E02001855",2011,711,36,11,0,11,25,8,15,0,2,133,32,24,7,0,1,78,23,80,49,24,6,1,8,5,5,0,3,3,0,73,55,18,13,5,194,144,16,9,13,0,12,0,94,15,7,24,48,0,93
"E33018170","E01009101","E02001855",2011,2810,202,66,0,66,136,101,29,4,2,317,206,181,23,1,1,60,51,139,98,26,6,9,50,5,5,0,45,45,0,757,244,513,423,90,826,12,35,272,481,0,26,0,498,6,32,205,254,1,21
"E33018171","E01009101","E02001855",2011,526,42,19,0,19,23,12,10,1,0,73,39,31,8,0,0,21,13,46,24,15,5,2,12,1,1,0,11,11,0,94,33,61,50,11,142,12,36,27,64,0,3,0,111,5,7,45,54,0,6
"E33018172","E01009119","E02001949",2011,249,11,5,0,5,6,4,2,0,0,31,20,18,2,0,0,9,2,22,20,1,1,0,22,8,8,0,14,14,0,35,16,19,18,1,25,0,17,2,5,0,1,0,98,0,2,19,77,0,5
"E33018173","E01009119","E02001949",2011,274,16,4,0,4,12,8,1,3,0,88,59,46,3,10,0,16,13,66,31,33,2,0,10,6,5,1,4,4,0,10,5,5,5,0,45,2,37,0,2,1,3,0,36,22,4,2,7,1,3
"E33018174","E01009119","E02001949",2011,668,94,34,0,34,60,36,21,1,2,187,117,95,18,4,0,46,24,133,50,36,44,3,23,6,6,0,17,15,2,67,33,34,33,1,38,13,8,4,5,0,7,1,108,2,11,49,46,0,18
"E33018175","E01009119","E02001949",2011,386,53,21,0,21,32,10,22,0,0,87,43,23,20,0,0,38,6,93,26,32,5,30,19,8,8,0,11,11,0,58,14,44,44,0,35,8,5,4,9,0,9,0,38,1,1,23,12,1,3
"E33018176","E01009119","E02001949",2011,745,139,45,0,45,94,42,49,1,2,171,96,68,22,5,1,57,18,158,93,43,20,2,12,3,3,0,9,9,0,53,29,24,20,4,125,18,12,13,48,0,34,0,77,1,10,24,42,0,10
"E33018177","E01009116","E02001953",2011,965,171,65,0,65,106,61,31,10,4,162,104,93,7,3,1,43,15,98,66,15,10,7,37,11,11,0,26,24,2,138,63,75,50,25,198,7,38,101,33,0,18,1,139,20,30,50,37,2,22
"E33018178","E01033627","E02006898",2011,3549,1052,212,0,212,840,570,230,30,10,1104,790,640,121,26,3,275,39,961,848,98,6,9,52,27,27,0,25,25,0,83,55,28,25,3,143,29,87,2,6,0,18,1,72,20,2,8,40,2,82
"E33018179","E01033627","E02006898",2011,377,30,7,0,7,23,11,11,0,1,107,66,57,4,5,0,24,17,134,57,17,60,0,12,1,1,0,11,11,0,15,12,3,3,0,36,4,24,1,1,0,5,1,17,6,0,1,10,0,26
"E33018180","E01033622","E02006899",2011,1633,334,91,0,91,243,52,179,9,3,533,210,160,44,5,1,289,34,253,195,35,4,19,39,10,10,0,29,29,0,161,88,73,71,2,72,6,40,4,11,0,10,1,160,86,1,9,64,0,81
"E33018181","E01033627","E02006898",2011,373,130,20,0,20,110,35,74,1,0,118,82,54,26,1,1,24,12,62,52,9,1,0,8,4,4,0,4,4,0,8,5,3,3,0,14,1,10,0,1,0,2,0,16,7,0,1,8,0,17
"E33018182","E01033627","E02006898",2011,1013,118,44,0,44,74,25,49,0,0,441,319,274,37,7,1,115,7,177,152,17,7,1,11,7,7,0,4,4,0,76,44,32,29,3,57,17,32,0,0,2,6,0,47,32,1,0,13,1,86
"E33018183","E01033627","E02006898",2011,1158,210,44,0,44,166,96,62,7,1,410,280,222,41,16,1,98,32,169,105,49,12,3,21,11,11,0,10,10,0,87,56,31,29,2,128,8,104,2,3,0,10,1,68,16,6,7,39,0,65
"E33018184","E01009146","E02006897",2011,249,9,2,0,2,7,4,2,1,0,44,18,9,5,4,0,23,3,39,29,9,1,0,21,8,7,1,13,13,0,33,30,3,3,0,39,11,14,0,0,0,11,3,33,14,1,0,18,0,31
"E33018185","E01009146","E02006897",2011,364,47,13,0,13,34,23,11,0,0,89,51,39,9,3,0,35,3,86,78,6,0,2,11,8,8,0,3,3,0,37,24,13,12,1,34,3,27,0,0,0,4,0,28,21,0,2,5,0,32
"E33018186","E01009146","E02006897",2011,389,23,5,0,5,18,3,13,1,1,92,45,34,6,5,0,38,9,79,42,36,1,0,6,2,2,0,4,4,0,49,36,13,13,0,28,3,18,0,0,0,7,0,55,23,0,0,32,0,57
"E33018187","E01009146","E02006897",2011,2428,350,50,0,50,300,129,167,4,0,597,333,225,102,6,0,223,41,1245,948,291,6,0,7,1,1,0,6,6,0,53,36,17,11,6,77,15,31,0,4,2,24,1,38,10,2,6,20,0,61
"E33018188","E01033639","E02006897",2011,367,32,12,1,11,20,7,9,4,0,181,148,140,5,3,0,12,21,88,73,11,2,2,16,6,6,0,10,10,0,12,11,1,1,0,16,3,8,1,0,0,4,0,13,5,2,0,6,0,9
"E33018189","E01033639","E02006897",2011,377,6,1,0,1,5,1,4,0,0,64,25,21,2,1,1,37,2,42,25,15,2,0,15,6,6,0,9,9,0,59,49,10,10,0,55,5,33,0,1,0,16,0,57,34,0,1,22,0,79
"E33018190","E01033639","E02006897",2011,749,146,31,0,31,115,38,71,6,0,241,146,117,15,14,0,40,55,235,210,21,3,1,14,5,5,0,9,9,0,20,8,12,12,0,34,5,17,1,4,0,6,1,22,1,1,11,9,0,37
"E33018191","E01033639","E02006897",2011,539,22,6,0,6,16,6,5,3,2,87,23,16,3,4,0,47,17,27,15,9,2,1,24,11,11,0,13,13,0,70,61,9,9,0,168,112,41,0,3,0,11,1,51,17,2,9,23,0,90
"E33018192","E01033639","E02006897",2011,424,53,19,0,19,34,22,11,1,0,159,120,105,13,2,0,14,25,160,90,69,0,1,0,0,0,0,0,0,0,18,6,12,9,3,16,3,5,1,1,0,6,0,8,0,0,6,2,0,10
"E33018193","E01033639","E02006897",2011,588,144,22,0,22,122,20,102,0,0,262,207,173,32,2,0,31,24,140,89,41,10,0,0,0,0,0,0,0,0,6,5,1,1,0,27,17,4,0,0,0,6,0,4,1,0,1,2,0,5
"E33018194","E01033623","E02006899",2011,675,108,25,0,25,83,37,33,9,4,207,133,98,21,13,1,42,32,151,80,61,4,6,47,21,21,0,26,25,1,29,14,15,15,0,89,14,56,2,7,0,10,0,21,5,1,6,9,0,23
