"wz11cd","lsoa11cd","msoa11cd","date","Highest Level of Qualification: All categories: Highest level of qualification; measures: Value","Highest Level of Qualification: No qualifications; measures: Value","Highest Level of Qualification: Level 1 qualifications; measures: Value","Highest Level of Qualification: Level 2 qualifications; measures: Value","Highest Level of Qualification: Apprenticeship; measures: Value","Highest Level of Qualification: Level 3 qualifications; measures: Value","Highest Level of Qualification: Level 4 qualifications and above; measures: Value","Highest Level of Qualification: Other qualifications; measures: Value","Highest Level of Qualification: No qualifications; measures: Value:value%","Highest Level of Qualification: Level 1 qualifications; measures: Value:value%","Highest Level of Qualification: Level 2 qualifications; measures: Value:value%","Highest Level of Qualification: Apprenticeship; measures: Value:value%","Highest Level of Qualification: Level 3 qualifications; measures: Value:value%","Highest Level of Qualification: Level 4 qualifications and above; measures: Value:value%","Highest Level of Qualification: Other qualifications; measures: Value:value%"
"E33018126","E01008917","E02001928",2011,261,66,27,33,13,31,47,44,25.2873563218391,10.3448275862069,12.6436781609195,4.98084291187739,11.8773946360153,18.007662835249,16.8582375478927
"E33018127","E01008961","E02001942",2011,356,19,69,94,8,80,77,9,5.33707865168539,19.3820224719101,26.4044943820225,2.24719101123596,22.4719101123595,21.6292134831461,2.52808988764045
"E33018128","E01008961","E02001942",2011,371,78,64,87,5,53,59,25,21.0242587601078,17.2506738544474,23.4501347708895,1.34770889487871,14.2857142857143,15.9029649595687,6.73854447439353
"E33018129","E01008950","E02001939",2011,771,38,122,151,9,165,270,16,4.92866407263294,15.8236057068742,19.5849546044099,1.16731517509728,21.4007782101167,35.0194552529183,2.07522697795071
"E33018130","E01008991","E02001890",2011,794,36,74,95,8,100,468,13,4.53400503778338,9.31989924433249,11.9647355163728,1.00755667506297,12.5944584382872,58.9420654911839,1.63727959697733
"E33018131","E01008994","E02001900",2011,935,35,85,150,8,152,498,7,3.74331550802139,9.09090909090909,16.0427807486631,0.855614973262032,16.2566844919786,53.2620320855615,0.748663101604278
"E33018132","E01008994","E02001900",2011,333,19,60,48,1,52,145,8,5.7057057057057,18.018018018018,14.4144144144144,0.3003003003003,15.6156156156156,43.5435435435435,2.4024024024024
"E33018133","E01008994","E02001900",2011,739,25,119,175,3,158,239,20,3.382949932341,16.1028416779432,23.680649526387,0.40595399188092,21.3802435723951,32.34100135318,2.7063599458728
"E33018134","E01008994","E02001900",2011,206,28,34,29,3,29,61,22,13.5922330097087,16.504854368932,14.0776699029126,1.45631067961165,14.0776699029126,29.6116504854369,10.6796116504854
"E33018135","E01008994","E02001900",2011,308,13,36,50,5,36,161,7,4.22077922077922,11.6883116883117,16.2337662337662,1.62337662337662,11.6883116883117,52.2727272727273,2.27272727272727
"E33018136","E01008990","E02001890",2011,741,10,60,94,1,109,457,10,1.34952766531714,8.09716599190283,12.6855600539811,0.134952766531714,14.7098515519568,61.6734143049933,1.34952766531714
"E33018137","E01008990","E02001890",2011,251,13,31,31,3,53,105,15,5.1792828685259,12.3505976095618,12.3505976095618,1.19521912350598,21.1155378486056,41.8326693227092,5.97609561752988
"E33018138","E01008990","E02001890",2011,415,6,25,48,3,44,285,4,1.44578313253012,6.02409638554217,11.566265060241,0.72289156626506,10.6024096385542,68.6746987951807,0.963855421686747
"E33018139","E01008990","E02001890",2011,1722,50,177,283,13,309,844,46,2.90360046457607,10.2787456445993,16.4343786295006,0.754936120789779,17.9442508710801,49.0127758420441,2.67131242740999
"E33018140","E01008990","E02001890",2011,564,37,94,113,2,99,190,29,6.56028368794326,16.6666666666667,20.0354609929078,0.354609929078014,17.5531914893617,33.6879432624113,5.14184397163121
"E33018141","E01008988","E02001890",2011,392,24,55,74,6,59,165,9,6.12244897959184,14.030612244898,18.8775510204082,1.53061224489796,15.0510204081633,42.0918367346939,2.29591836734694
"E33018142","E01033631","E02001905",2011,7744,186,364,539,52,1041,5382,180,2.40185950413223,4.7004132231405,6.96022727272727,0.671487603305785,13.4426652892562,69.4989669421488,2.32438016528926
"E33018143","E01033631","E02001905",2011,210,19,23,17,2,11,135,3,9.04761904761905,10.952380952381,8.0952380952381,0.952380952380952,5.23809523809524,64.2857142857143,1.42857142857143
"E33018144","E01033631","E02001905",2011,373,33,31,67,5,61,168,8,8.84718498659517,8.31099195710456,17.9624664879357,1.34048257372654,16.3538873994638,45.0402144772118,2.14477211796247
"E33018145","E01009007","E02001849",2011,233,22,64,55,7,34,39,12,9.44206008583691,27.4678111587983,23.6051502145923,3.00429184549356,14.5922746781116,16.7381974248927,5.15021459227468
"E33018146","E01009007","E02001849",2011,282,58,48,65,2,38,58,13,20.5673758865248,17.0212765957447,23.0496453900709,0.709219858156028,13.4751773049645,20.5673758865248,4.60992907801418
"E33018147","E01009007","E02001849",2011,384,56,74,76,13,63,80,22,14.5833333333333,19.2708333333333,19.7916666666667,3.38541666666667,16.40625,20.8333333333333,5.72916666666667
"E33018148","E01009007","E02001849",2011,487,33,91,130,3,88,129,13,6.77618069815195,18.6858316221766,26.694045174538,0.616016427104723,18.0698151950719,26.4887063655031,2.6694045174538
"E33018149","E01009007","E02001849",2011,507,30,50,70,6,80,263,8,5.91715976331361,9.86193293885602,13.8067061143984,1.18343195266272,15.7790927021696,51.8737672583826,1.57790927021696
"E33018150","E01009007","E02001849",2011,271,19,41,57,5,53,87,9,7.01107011070111,15.1291512915129,21.0332103321033,1.8450184501845,19.5571955719557,32.1033210332103,3.3210332103321
"E33018151","E01009007","E02001849",2011,398,89,62,63,3,35,63,83,22.3618090452261,15.5778894472362,15.8291457286432,0.753768844221105,8.79396984924623,15.8291457286432,20.8542713567839
"E33018152","E01009007","E02001849",2011,407,84,100,78,5,70,55,15,20.6388206388206,24.5700245700246,19.1646191646192,1.22850122850123,17.1990171990172,13.5135135135135,3.68550368550369
"E33018153","E01009014","E02001916",2011,1018,77,118,81,63,120,526,33,7.56385068762279,11.5913555992141,7.95677799607073,6.18860510805501,11.7878192534381,51.6699410609037,3.24165029469548
"E33018154","E01009026","E02001916",2011,370,49,31,36,9,48,184,13,13.2432432432432,8.37837837837838,9.72972972972973,2.43243243243243,12.972972972973,49.7297297297297,3.51351351351351
"E33018155","E01033641","E02006901",2011,345,56,56,52,18,42,97,24,16.231884057971,16.231884057971,15.0724637681159,5.21739130434783,12.1739130434783,28.1159420289855,6.95652173913043
"E33018156","E01009015","E02001915",2011,315,32,43,27,4,41,155,13,10.1587301587302,13.6507936507937,8.57142857142857,1.26984126984127,13.015873015873,49.2063492063492,4.12698412698413
"E33018157","E01009045","E02001923",2011,410,16,28,42,5,53,246,20,3.90243902439024,6.82926829268293,10.2439024390244,1.21951219512195,12.9268292682927,60,4.8780487804878
"E33018158","E01009069","E02001901",2011,491,38,82,104,5,70,157,35,7.73930753564155,16.7006109979633,21.1812627291242,1.0183299389002,14.2566191446028,31.9755600814664,7.12830957230142
"E33018159","E01009069","E02001901",2011,261,33,35,46,12,51,72,12,12.6436781609195,13.4099616858238,17.6245210727969,4.59770114942529,19.5402298850575,27.5862068965517,4.59770114942529
"E33018160","E01009098","E02001851",2011,842,149,130,148,66,129,186,34,17.6959619952494,15.4394299287411,17.5771971496437,7.83847980997625,15.3206650831354,22.0902612826603,4.03800475059382
"E33018161","E01009102","E02001854",2011,1571,232,329,305,52,179,371,103,14.7676639083386,20.942075111394,19.4143857415659,3.30999363462763,11.3940165499682,23.6155315085933,6.55633354551241
"E33018162","E01009102","E02001854",2011,1166,122,209,307,24,263,173,68,10.4631217838765,17.9245283018868,26.3293310463122,2.05831903945112,22.5557461406518,14.8370497427101,5.83190394511149
"E33018163","E01009102","E02001854",2011,388,65,69,71,20,57,72,34,16.7525773195876,17.7835051546392,18.2989690721649,5.15463917525773,14.6907216494845,18.5567010309278,8.76288659793814
"E33018164","E01009102","E02001854",2011,584,95,107,111,28,73,136,34,16.2671232876712,18.3219178082192,19.0068493150685,4.7945205479452,12.5,23.2876712328767,5.82191780821918
"E33018165","E01009102","E02001854",2011,313,42,78,48,17,42,61,25,13.4185303514377,24.9201277955272,15.3354632587859,5.43130990415335,13.4185303514377,19.4888178913738,7.98722044728434
"E33018166","E01009102","E02001854",2011,304,38,61,58,15,58,62,12,12.5,20.0657894736842,19.0789473684211,4.93421052631579,19.0789473684211,20.3947368421053,3.94736842105263
"E33018167","E01009102","E02001854",2011,1483,75,203,251,30,218,671,35,5.05731625084289,13.6884693189481,16.9251517194875,2.02292650033715,14.6999325691167,45.2461227242077,2.36008091706001
"E33018168","E01009102","E02001854",2011,1028,182,183,221,46,142,183,71,17.704280155642,17.8015564202335,21.4980544747082,4.47470817120623,13.8132295719844,17.8015564202335,6.90661478599222
"E33018169","E01009101","E02001855",2011,711,107,152,190,26,112,95,29,15.0492264416315,21.3783403656821,26.7229254571027,3.65682137834037,15.7524613220816,13.3614627285513,4.07876230661041
"E33018170","E01009101","E02001855",2011,2810,568,612,458,292,363,394,123,20.2135231316726,21.779359430605,16.2989323843416,10.3914590747331,12.9181494661922,14.0213523131673,4.37722419928826
"E33018171","E01009101","E02001855",2011,526,102,129,85,27,61,87,35,19.3916349809886,24.5247148288973,16.1596958174905,5.13307984790875,11.5969581749049,16.5399239543726,6.65399239543726
"E33018172","E01009119","E02001949",2011,249,59,56,53,12,30,26,13,23.6947791164659,22.4899598393574,21.285140562249,4.81927710843374,12.0481927710843,10.4417670682731,5.22088353413655
"E33018173","E01009119","E02001949",2011,274,18,31,55,6,51,102,11,6.56934306569343,11.3138686131387,20.0729927007299,2.18978102189781,18.6131386861314,37.2262773722628,4.01459854014599
"E33018174","E01009119","E02001949",2011,668,100,126,109,32,88,175,38,14.9700598802395,18.8622754491018,16.3173652694611,4.79041916167665,13.1736526946108,26.1976047904192,5.68862275449102
"E33018175","E01009119","E02001949",2011,386,67,70,78,31,59,66,15,17.3575129533679,18.1347150259067,20.2072538860104,8.03108808290155,15.2849740932642,17.0984455958549,3.8860103626943
"E33018176","E01009119","E02001949",2011,745,68,139,189,24,91,203,31,9.12751677852349,18.6577181208054,25.3691275167785,3.22147651006711,12.2147651006711,27.248322147651,4.16107382550336
"E33018177","E01009116","E02001953",2011,965,153,163,151,34,126,297,41,15.8549222797927,16.8911917098446,15.6476683937824,3.52331606217617,13.0569948186528,30.7772020725389,4.24870466321244
"E33018178","E01033627","E02006898",2011,3549,99,344,520,12,456,2039,79,2.78951817413356,9.69287123133277,14.6520146520147,0.338123415046492,12.8486897717667,57.4528036066498,2.22597914905607
"E33018179","E01033627","E02006898",2011,377,21,33,61,7,48,190,17,5.57029177718833,8.75331564986737,16.1803713527851,1.85676392572944,12.7320954907162,50.3978779840849,4.50928381962865
"E33018180","E01033622","E02006899",2011,1633,121,201,255,19,263,660,114,7.40967544396816,12.3086344151868,15.6154317207593,1.16350275566442,16.1053276178812,40.4164115125536,6.98101653398653
"E33018181","E01033627","E02006898",2011,373,11,25,36,3,56,234,8,2.94906166219839,6.70241286863271,9.6514745308311,0.804289544235925,15.0134048257373,62.7345844504021,2.14477211796247
"E33018182","E01033627","E02006898",2011,1013,40,101,165,8,202,448,49,3.94866732477789,9.97038499506417,16.2882527147088,0.789733464955577,19.9407699901283,44.2250740375123,4.83711747285291
"E33018183","E01033627","E02006898",2011,1158,59,100,126,23,172,650,28,5.09499136442142,8.63557858376511,10.880829015544,1.98618307426598,14.853195164076,56.1312607944732,2.41796200345423
"E33018184","E01009146","E02006897",2011,249,25,33,50,8,56,58,19,10.0401606425703,13.2530120481928,20.0803212851406,3.21285140562249,22.4899598393574,23.2931726907631,7.63052208835341
"E33018185","E01009146","E02006897",2011,364,24,40,53,0,52,160,35,6.59340659340659,10.989010989011,14.5604395604396,0,14.2857142857143,43.956043956044,9.61538461538462
"E33018186","E01009146","E02006897",2011,389,31,30,68,6,91,133,30,7.96915167095116,7.7120822622108,17.4807197943445,1.54241645244216,23.3933161953728,34.1902313624679,7.7120822622108
"E33018187","E01009146","E02006897",2011,2428,70,370,568,19,449,905,47,2.8830313014827,15.2388797364086,23.3937397034596,0.782537067545305,18.492586490939,37.2734761120264,1.93574958813839
"E33018188","E01033639","E02006897",2011,367,13,27,34,7,51,222,13,3.54223433242507,7.35694822888283,9.26430517711172,1.90735694822888,13.8964577656676,60.4904632152589,3.54223433242507
"E33018189","E01033639","E02006897",2011,377,41,57,61,2,105,77,34,10.8753315649867,15.1193633952255,16.1803713527851,0.530503978779841,27.8514588859416,20.4244031830239,9.01856763925729
"E33018190","E01033639","E02006897",2011,749,23,88,125,6,156,326,25,3.07076101468625,11.7489986648865,16.6889185580774,0.801068090787717,20.8277703604806,43.524699599466,3.33778371161549
"E33018191","E01033639","E02006897",2011,539,99,92,80,5,96,107,60,18.3673469387755,17.0686456400742,14.8423005565863,0.927643784786642,17.8107606679035,19.8515769944341,11.1317254174397
"E33018192","E01033639","E02006897",2011,424,8,48,68,4,63,228,5,1.88679245283019,11.3207547169811,16.0377358490566,0.943396226415094,14.8584905660377,53.7735849056604,1.17924528301887
"E33018193","E01033639","E02006897",2011,588,7,70,90,0,103,298,20,1.19047619047619,11.9047619047619,15.3061224489796,0,17.5170068027211,50.6802721088435,3.40136054421769
"E33018194","E01033623","E02006899",2011,675,48,117,115,18,99,236,42,7.11111111111111,17.3333333333333,17.037037037037,2.66666666666667,14.6666666666667,34.962962962963,6.22222222222222
"E33018195","E01009159","E02001956",2011,1194,122,163,229,10,189,386,95,10.2177554438861,13.6515912897822,19.179229480737,0.83752093802345,15.8291457286432,32.3283082077052,7.95644891122278
"E33018196","E01009159","E02001956",2011,709,79,119,151,5,163,166,26,11.1424541607898,16.7842031029619,21.2976022566996,0.705218617771509,22.9901269393512,23.4132581100141,3.66713681241185
"E33018197","E01009184","E02001918",2011,1210,113,123,140,17,180,584,53,9.33884297520661,10.1652892561983,11.5702479338843,1.40495867768595,14.8760330578512,48.2644628099174,4.3801652892562
"E33018198","E01009188","E02001918",2011,458,31,62,98,10,67,175,15,6.76855895196507,13.5371179039301,21.3973799126638,2.18340611353712,14.6288209606987,38.2096069868996,3.27510917030568
"E33018199","E01009178","E02001930",2011,539,95,71,74,7,94,158,40,17.6252319109462,13.1725417439703,13.7291280148423,1.2987012987013,17.4397031539889,29.3135435992579,7.42115027829314
"E33018200","E01009178","E02001930",2011,496,59,93,109,12,91,109,23,11.8951612903226,18.75,21.9758064516129,2.41935483870968,18.3467741935484,21.9758064516129,4.63709677419355
"E33018201","E01009178","E02001930",2011,386,66,91,78,3,73,54,21,17.0984455958549,23.5751295336788,20.2072538860104,0.77720207253886,18.9119170984456,13.9896373056995,5.44041450777202
"E33018202","E01009203","E02001869",2011,806,152,155,143,81,119,113,43,18.8585607940447,19.2307692307692,17.741935483871,10.0496277915633,14.7642679900744,14.0198511166253,5.33498759305211
"E33018203","E01009199","E02001878",2011,850,168,173,139,24,137,143,66,19.7647058823529,20.3529411764706,16.3529411764706,2.82352941176471,16.1176470588235,16.8235294117647,7.76470588235294
"E33018204","E01009204","E02001878",2011,302,57,46,48,14,48,69,20,18.8741721854305,15.2317880794702,15.8940397350993,4.63576158940397,15.8940397350993,22.8476821192053,6.62251655629139
"E33018205","E01009204","E02001878",2011,312,43,78,49,15,48,67,12,13.7820512820513,25,15.7051282051282,4.80769230769231,15.3846153846154,21.474358974359,3.84615384615385
"E33018206","E01009204","E02001878",2011,370,79,65,55,14,38,59,60,21.3513513513514,17.5675675675676,14.8648648648649,3.78378378378378,10.2702702702703,15.9459459459459,16.2162162162162
"E33018207","E01009204","E02001878",2011,255,52,64,41,15,30,32,21,20.3921568627451,25.0980392156863,16.078431372549,5.88235294117647,11.7647058823529,12.5490196078431,8.23529411764706
"E33018208","E01033644","E02001878",2011,208,34,27,24,5,22,70,26,16.3461538461538,12.9807692307692,11.5384615384615,2.40384615384615,10.5769230769231,33.6538461538462,12.5
"E33018209","E01033644","E02001878",2011,257,57,61,48,10,24,30,27,22.1789883268482,23.7354085603113,18.6770428015564,3.89105058365759,9.33852140077821,11.6731517509728,10.5058365758755
"E33018210","E01033644","E02001878",2011,932,216,198,156,27,96,159,80,23.175965665236,21.244635193133,16.7381974248927,2.89699570815451,10.3004291845494,17.0600858369099,8.58369098712446
"E33018211","E01009194","E02001877",2011,327,30,28,41,5,57,142,24,9.1743119266055,8.56269113149847,12.5382262996942,1.52905198776758,17.4311926605505,43.4250764525994,7.3394495412844
"E33018212","E01009198","E02001884",2011,277,50,66,48,11,34,42,26,18.0505415162455,23.826714801444,17.3285198555957,3.97111913357401,12.2743682310469,15.1624548736462,9.38628158844765
"E33018213","E01009198","E02001884",2011,293,67,54,48,9,28,36,51,22.8668941979522,18.4300341296928,16.382252559727,3.07167235494881,9.55631399317406,12.2866894197952,17.4061433447099
"E33018214","E01009198","E02001884",2011,267,58,58,47,4,25,58,17,21.7228464419476,21.7228464419476,17.6029962546816,1.49812734082397,9.36329588014981,21.7228464419476,6.36704119850187
"E33018215","E01009198","E02001884",2011,327,70,37,36,17,30,106,31,21.4067278287462,11.3149847094801,11.0091743119266,5.19877675840979,9.1743119266055,32.4159021406728,9.48012232415902
"E33018216","E01009200","E02006900",2011,197,31,38,36,2,33,46,11,15.7360406091371,19.2893401015228,18.2741116751269,1.01522842639594,16.751269035533,23.3502538071066,5.58375634517767
"E33018217","E01009200","E02006900",2011,248,41,32,31,8,38,77,21,16.5322580645161,12.9032258064516,12.5,3.2258064516129,15.3225806451613,31.0483870967742,8.46774193548387
"E33018218","E01009200","E02006900",2011,422,94,51,52,4,39,151,31,22.2748815165877,12.085308056872,12.3222748815166,0.947867298578199,9.24170616113744,35.781990521327,7.34597156398104
"E33018219","E01009200","E02006900",2011,745,156,156,148,41,61,81,102,20.9395973154362,20.9395973154362,19.8657718120805,5.50335570469799,8.18791946308725,10.8724832214765,13.6912751677852
"E33018220","E01009200","E02006900",2011,284,43,43,39,13,51,71,24,15.1408450704225,15.1408450704225,13.7323943661972,4.5774647887324,17.9577464788732,25,8.45070422535211
"E33018221","E01009200","E02006900",2011,301,30,30,24,10,32,164,11,9.96677740863787,9.96677740863787,7.9734219269103,3.32225913621263,10.6312292358804,54.485049833887,3.65448504983389
"E33018222","E01009200","E02006900",2011,278,29,47,44,3,55,80,20,10.431654676259,16.9064748201439,15.8273381294964,1.07913669064748,19.7841726618705,28.7769784172662,7.19424460431655
"E33018223","E01009200","E02006900",2011,965,58,89,103,15,162,520,18,6.01036269430052,9.22279792746114,10.6735751295337,1.55440414507772,16.7875647668394,53.8860103626943,1.86528497409326
"E33018224","E01009202","E02001869",2011,222,50,43,31,8,24,51,15,22.5225225225225,19.3693693693694,13.963963963964,3.6036036036036,10.8108108108108,22.972972972973,6.75675675675676
"E33018225","E01009202","E02001869",2011,1138,161,230,252,31,170,220,74,14.1476274165202,20.2108963093146,22.1441124780316,2.72407732864675,14.9384885764499,19.3321616871705,6.50263620386643
"E33018226","E01009202","E02001869",2011,226,34,39,63,12,25,43,10,15.0442477876106,17.2566371681416,27.8761061946903,5.30973451327434,11.0619469026549,19.0265486725664,4.42477876106195
"E33018227","E01009202","E02001869",2011,530,117,87,98,27,69,89,43,22.0754716981132,16.4150943396226,18.4905660377358,5.09433962264151,13.0188679245283,16.7924528301887,8.11320754716981
"E33018228","E01009203","E02001869",2011,275,19,37,51,6,45,105,12,6.90909090909091,13.4545454545455,18.5454545454545,2.18181818181818,16.3636363636364,38.1818181818182,4.36363636363636
"E33018229","E01009203","E02001869",2011,279,40,44,53,9,49,72,12,14.336917562724,15.7706093189964,18.9964157706093,3.2258064516129,17.5627240143369,25.8064516129032,4.3010752688172
"E33018230","E01009203","E02001869",2011,380,87,63,55,22,40,67,46,22.8947368421053,16.578947368421,14.4736842105263,5.78947368421053,10.5263157894737,17.6315789473684,12.1052631578947
"E33018231","E01009203","E02001869",2011,300,59,53,44,18,50,55,21,19.6666666666667,17.6666666666667,14.6666666666667,6,16.6666666666667,18.3333333333333,7
"E33018232","E01009203","E02001869",2011,242,51,51,35,13,25,29,38,21.0743801652893,21.0743801652893,14.4628099173554,5.37190082644628,10.3305785123967,11.9834710743802,15.702479338843
"E33018233","E01009203","E02001869",2011,312,60,64,68,10,36,64,10,19.2307692307692,20.5128205128205,21.7948717948718,3.2051282051282,11.5384615384615,20.5128205128205,3.2051282051282
"E33018234","E01009203","E02001869",2011,252,54,45,34,9,29,72,9,21.4285714285714,17.8571428571429,13.4920634920635,3.57142857142857,11.5079365079365,28.5714285714286,3.57142857142857
"E33018235","E01009203","E02001869",2011,470,35,50,78,40,78,161,28,7.4468085106383,10.6382978723404,16.5957446808511,8.51063829787234,16.5957446808511,34.2553191489362,5.95744680851064
"E33018236","E01009201","E02001869",2011,258,43,50,52,12,35,46,20,16.6666666666667,19.3798449612403,20.1550387596899,4.65116279069767,13.5658914728682,17.8294573643411,7.75193798449612
"E33018237","E01009201","E02001869",2011,417,81,70,71,15,59,86,35,19.4244604316547,16.7865707434053,17.0263788968825,3.59712230215827,14.1486810551559,20.6235011990408,8.39328537170264
"E33018238","E01009201","E02001869",2011,564,113,93,74,21,68,119,76,20.0354609929078,16.4893617021277,13.1205673758865,3.72340425531915,12.0567375886525,21.0992907801418,13.4751773049645
"E33018239","E01009219","E02001946",2011,933,153,198,233,18,161,128,42,16.3987138263666,21.2218649517685,24.97320471597,1.92926045016077,17.2561629153269,13.7191854233655,4.5016077170418
"E33018240","E01009232","E02001848",2011,452,117,90,75,34,57,54,25,25.8849557522124,19.9115044247788,16.5929203539823,7.52212389380531,12.6106194690265,11.9469026548673,5.53097345132743
"E33018241","E01009222","E02001834",2011,207,15,32,40,5,21,78,16,7.2463768115942,15.4589371980676,19.3236714975845,2.41545893719807,10.1449275362319,37.6811594202899,7.72946859903382
"E33018242","E01009222","E02001834",2011,668,133,116,124,42,93,115,45,19.9101796407186,17.3652694610778,18.562874251497,6.2874251497006,13.9221556886228,17.2155688622755,6.73652694610778
"E33018243","E01009223","E02001839",2011,930,162,183,139,16,136,273,21,17.4193548387097,19.6774193548387,14.9462365591398,1.72043010752688,14.6236559139785,29.3548387096774,2.25806451612903
"E33018244","E01009239","E02001859",2011,339,82,67,62,12,48,51,17,24.188790560472,19.76401179941,18.2890855457227,3.53982300884956,14.1592920353982,15.0442477876106,5.01474926253687
"E33018245","E01009239","E02001859",2011,1179,185,261,244,32,155,190,112,15.6912637828668,22.1374045801527,20.6955046649703,2.71416454622561,13.1467345207803,16.1153519932146,9.49957591178965
"E33018246","E01009239","E02001859",2011,715,104,131,165,39,101,135,40,14.5454545454545,18.3216783216783,23.0769230769231,5.45454545454545,14.1258741258741,18.8811188811189,5.59440559440559
