"wz11cd","lsoa11cd","msoa11cd","date","Industry: All categories: Industry; measures: Value","Industry: A Agriculture, forestry and fishing; measures: Value","Industry: B Mining and quarrying; measures: Value","Industry: C Manufacturing; measures: Value","Industry: C10-12 Manufacturing: Food, beverages and tobacco; measures: Value","Industry: C13-15 Manufacturing: Textiles, wearing apparel and leather and related products; measures: Value","Industry: C16,17 Manufacturing: Wood, paper and paper products; measures: Value","Industry: C19-22 Manufacturing: Chemicals, chemical products, rubber and plastic; measures: Value","Industry: C23-25 Manufacturing: Low tech; measures: Value","Industry: C26-30 Manufacturing: High tech; measures: Value","Industry: C18, 31, 32 Manufacturing: Other; measures: Value","Industry: D Electricity, gas, steam and air conditioning supply; measures: Value","Industry: E Water supply, sewerage, waste management and remediation activities; measures: Value","Industry: F Construction; measures: Value","Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Industry: H Transport and storage; measures: Value","Industry: I Accommodation and food service activities; measures: Value","Industry: J Information and communication; measures: Value","Industry: K Financial and insurance activities; measures: Value","Industry: L Real estate activities; measures: Value","Industry: M Professional, scientific and technical activities; measures: Value","Industry: N Administrative and support service activities; measures: Value","Industry: O Public administration and defence; compulsory social security; measures: Value","Industry: P Education; measures: Value","Industry: Q Human health and social work activities; measures: Value","Industry: R,S Arts, entertainment and recreation; other service activities; measures: Value","Industry: T Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use; measures: Value","Industry: U Activities of extraterritorial organisations and bodies; measures: Value"
"E33018123","E01008901","E02001863",2011,314,0,0,3,0,0,0,0,2,1,0,0,0,3,11,114,8,1,1,0,2,11,4,120,31,3,2,0
"E33018124","E01008901","E02001863",2011,509,0,0,32,0,4,0,11,3,10,4,1,1,19,396,14,9,6,3,0,5,9,2,3,4,5,0,0
"E33018125","E01008901","E02001863",2011,471,0,0,199,0,0,1,15,137,26,20,2,1,125,71,9,7,32,0,1,6,6,4,3,3,2,0,0
"E33018126","E01008917","E02001928",2011,261,0,0,181,0,2,0,1,5,162,11,0,0,14,16,16,1,5,2,0,5,9,2,6,4,0,0,0
"E33018127","E01008961","E02001942",2011,356,0,0,1,0,0,0,0,1,0,0,0,0,5,15,4,14,3,150,3,3,10,31,6,92,19,0,0
"E33018128","E01008961","E02001942",2011,371,0,0,7,2,0,0,1,2,1,1,0,0,8,146,8,38,2,29,27,17,11,5,10,22,41,0,0
"E33018129","E01008950","E02001939",2011,771,0,0,8,1,0,0,1,0,3,3,0,3,6,11,6,1,5,8,11,11,10,672,2,16,1,0,0
"E33018130","E01008991","E02001890",2011,794,0,0,8,2,0,0,0,0,2,4,1,1,6,24,1,151,25,18,4,71,27,68,38,337,14,0,0
"E33018131","E01008994","E02001900",2011,935,0,0,119,2,0,0,32,5,13,67,1,0,10,31,0,14,3,588,1,104,18,4,11,22,9,0,0
"E33018132","E01008994","E02001900",2011,333,0,0,2,0,0,1,1,0,0,0,6,0,11,116,1,5,5,2,2,68,14,2,10,58,31,0,0
"E33018133","E01008994","E02001900",2011,739,0,0,10,0,0,0,1,0,4,5,0,1,14,88,4,7,11,7,18,16,25,473,10,53,2,0,0
"E33018134","E01008994","E02001900",2011,206,0,0,23,3,0,0,1,1,6,12,1,0,1,25,0,81,1,15,7,3,6,9,7,4,23,0,0
"E33018135","E01008994","E02001900",2011,308,1,0,4,1,0,0,2,0,1,0,1,0,51,18,1,6,1,5,11,58,27,107,0,13,4,0,0
"E33018136","E01008990","E02001890",2011,741,0,0,4,0,0,0,1,2,0,1,0,1,13,10,4,1,40,75,12,162,40,33,38,11,296,0,1
"E33018137","E01008990","E02001890",2011,251,0,0,5,0,0,0,2,0,0,3,0,0,12,12,11,2,0,18,4,62,23,3,13,80,6,0,0
"E33018138","E01008990","E02001890",2011,415,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,9,3,32,6,255,6,1,7,66,19,0,0
"E33018139","E01008990","E02001890",2011,1722,0,0,19,6,0,1,0,4,5,3,4,1,147,44,28,34,57,183,5,317,77,387,112,153,154,0,0
"E33018140","E01008990","E02001890",2011,564,1,0,10,1,0,1,4,1,3,0,0,0,8,13,4,21,22,193,14,55,58,9,53,55,48,0,0
"E33018141","E01008988","E02001890",2011,392,0,0,13,1,1,0,0,0,1,10,0,0,12,25,6,17,11,56,23,104,7,8,19,76,11,4,0
"E33018142","E01033631","E02001905",2011,7744,13,0,34,5,1,1,4,5,11,7,9,2,26,131,22,224,32,47,19,360,86,61,5824,563,287,2,2
"E33018143","E01033631","E02001905",2011,210,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,4,1,2,0,1,7,4,156,7,17,0,0
"E33018144","E01033631","E02001905",2011,373,0,0,5,1,1,0,0,2,1,0,0,1,5,24,2,29,13,3,3,11,9,152,9,91,16,0,0
"E33018145","E01009007","E02001849",2011,233,0,0,8,1,0,0,1,1,0,5,1,0,5,79,2,4,1,65,2,3,8,0,2,3,50,0,0
"E33018146","E01009007","E02001849",2011,282,0,0,10,2,2,0,1,1,2,2,1,2,11,69,20,19,2,7,26,17,35,4,2,45,12,0,0
"E33018147","E01009007","E02001849",2011,384,0,0,12,3,0,0,0,3,3,3,1,0,1,133,28,22,19,13,4,16,37,28,12,32,26,0,0
"E33018148","E01009007","E02001849",2011,487,0,0,5,0,0,0,0,2,2,1,0,1,6,12,1,30,9,2,2,9,18,282,5,104,1,0,0
"E33018149","E01009007","E02001849",2011,507,0,0,14,1,0,0,4,4,4,1,0,0,6,14,1,10,0,2,2,10,13,156,191,76,12,0,0
"E33018150","E01009007","E02001849",2011,271,0,0,4,1,1,0,1,0,1,0,0,0,5,20,6,6,0,3,0,6,7,182,6,7,19,0,0
"E33018151","E01009007","E02001849",2011,398,0,0,13,1,1,0,1,0,5,5,0,0,6,91,50,26,1,18,0,20,105,1,5,56,6,0,0
"E33018152","E01009007","E02001849",2011,407,0,0,7,0,0,0,0,1,3,3,0,0,8,259,8,14,3,43,1,5,23,3,6,6,21,0,0
"E33018153","E01009014","E02001916",2011,1018,0,0,811,4,1,2,35,38,694,37,1,0,26,34,13,11,11,4,2,47,18,2,9,24,5,0,0
"E33018154","E01009026","E02001916",2011,370,0,0,24,0,1,1,3,5,6,8,0,2,20,38,5,14,1,0,0,5,8,2,235,7,9,0,0
"E33018155","E01033641","E02006901",2011,345,0,0,99,1,0,6,6,16,39,31,1,0,25,55,6,8,75,0,0,2,8,2,18,6,40,0,0
"E33018156","E01009015","E02001915",2011,315,0,0,3,0,0,0,0,1,2,0,1,1,11,10,1,19,2,5,9,13,9,3,175,43,10,0,0
"E33018157","E01009045","E02001923",2011,410,1,0,5,1,0,0,0,1,1,2,0,0,12,25,8,13,3,5,3,17,9,4,279,10,16,0,0
"E33018158","E01009069","E02001901",2011,491,0,0,10,1,1,2,0,2,1,3,0,0,6,236,16,58,1,27,1,8,17,9,89,7,6,0,0
"E33018159","E01009069","E02001901",2011,261,0,0,12,3,0,0,1,5,3,0,0,0,4,76,0,44,3,13,22,24,8,0,4,6,45,0,0
"E33018160","E01009098","E02001851",2011,842,0,0,538,5,2,3,5,160,331,32,3,4,20,114,18,60,6,1,2,29,24,2,6,9,6,0,0
"E33018161","E01009102","E02001854",2011,1571,2,0,439,2,1,2,358,15,39,22,2,5,32,426,267,39,93,45,2,51,65,49,17,19,18,0,0
"E33018162","E01009102","E02001854",2011,1166,0,0,40,2,17,0,7,2,6,6,0,0,10,844,101,72,7,5,3,13,39,2,4,9,16,1,0
"E33018163","E01009102","E02001854",2011,388,0,0,128,4,2,0,0,16,84,22,5,9,39,75,54,4,4,0,11,4,25,0,2,12,16,0,0
"E33018164","E01009102","E02001854",2011,584,0,0,93,1,0,0,3,13,6,70,2,4,23,133,93,9,15,2,6,7,79,53,5,56,4,0,0
"E33018165","E01009102","E02001854",2011,313,0,0,37,1,0,0,7,4,12,13,0,3,38,138,53,4,8,0,2,4,15,2,1,1,7,0,0
"E33018166","E01009102","E02001854",2011,304,0,0,135,0,11,1,8,2,13,100,0,0,10,63,18,2,29,5,3,11,9,7,4,2,6,0,0
"E33018167","E01009102","E02001854",2011,1483,2,0,56,0,0,1,8,11,14,22,1,1,102,141,34,36,370,129,7,313,95,93,54,36,13,0,0
"E33018168","E01009102","E02001854",2011,1028,0,0,546,4,4,0,284,47,119,88,1,0,36,271,13,28,28,5,1,7,14,7,3,19,49,0,0
"E33018169","E01009101","E02001855",2011,711,0,0,46,0,0,0,13,6,19,8,2,1,25,445,51,73,9,8,0,7,16,8,5,3,12,0,0
"E33018170","E01009101","E02001855",2011,2810,0,1,2148,12,3,7,33,52,1994,47,6,4,56,246,157,29,9,5,3,26,79,4,11,14,12,0,0
"E33018171","E01009101","E02001855",2011,526,0,0,204,2,0,9,10,17,132,34,10,6,69,106,64,11,7,2,2,4,18,2,8,8,5,0,0
"E33018172","E01009119","E02001949",2011,249,0,0,16,0,0,0,6,5,2,3,0,80,66,6,9,8,0,2,0,3,28,7,12,10,2,0,0
"E33018173","E01009119","E02001949",2011,274,0,0,3,1,0,0,0,1,1,0,0,1,11,21,2,16,1,33,3,13,7,10,49,76,28,0,0
"E33018174","E01009119","E02001949",2011,668,0,0,124,4,34,2,2,5,14,63,0,6,92,78,7,8,14,1,3,75,153,12,21,58,16,0,0
"E33018175","E01009119","E02001949",2011,386,0,0,90,12,4,0,7,31,3,33,0,1,93,54,7,0,39,33,13,11,11,4,5,21,3,1,0
"E33018176","E01009119","E02001949",2011,745,1,0,148,2,0,0,19,2,104,21,1,3,58,241,30,6,32,11,5,40,44,4,8,100,13,0,0
"E33018177","E01009116","E02001953",2011,965,1,0,420,3,9,1,2,233,146,26,2,2,37,88,38,30,14,2,1,37,20,39,56,158,20,0,0
"E33018178","E01033627","E02006898",2011,3549,0,0,18,5,1,0,0,4,7,1,0,5,40,77,10,131,48,1642,376,819,234,13,51,36,49,0,0
"E33018179","E01033627","E02006898",2011,377,0,0,2,1,0,0,0,0,0,1,0,0,3,25,1,28,6,84,11,18,13,14,131,8,33,0,0
"E33018180","E01033622","E02006899",2011,1633,1,0,53,21,0,1,1,4,10,16,1,1,25,177,15,905,165,20,45,66,42,17,20,41,38,1,0
"E33018181","E01033627","E02006898",2011,373,0,0,9,0,0,0,0,0,9,0,0,0,10,7,8,33,66,49,5,65,11,49,39,7,12,0,3
"E33018182","E01033627","E02006898",2011,1013,0,0,4,1,0,0,0,0,3,0,2,1,2,51,5,203,7,632,3,9,27,7,42,10,8,0,0
"E33018183","E01033627","E02006898",2011,1158,0,0,14,1,1,0,1,7,2,2,2,2,52,34,4,91,19,104,47,323,161,32,50,13,210,0,0
"E33018184","E01009146","E02006897",2011,249,1,0,18,2,0,0,0,12,1,3,1,0,6,59,1,123,1,1,5,1,13,0,6,8,5,0,0
"E33018185","E01009146","E02006897",2011,364,0,0,3,3,0,0,0,0,0,0,0,0,1,13,3,99,13,122,3,47,27,1,1,3,28,0,0
"E33018186","E01009146","E02006897",2011,389,0,0,7,5,0,0,0,0,1,1,1,0,4,24,0,270,47,6,1,7,10,0,5,1,6,0,0
"E33018187","E01009146","E02006897",2011,2428,1,0,10,2,0,0,0,3,3,2,1,1,16,30,12,61,10,1889,65,78,206,10,13,14,11,0,0
"E33018188","E01033639","E02006897",2011,367,0,0,6,0,1,0,0,4,0,1,0,0,2,13,1,34,10,4,1,25,39,107,29,85,11,0,0
"E33018189","E01033639","E02006897",2011,377,0,0,1,0,0,0,0,0,1,0,1,0,2,4,4,142,56,4,0,4,10,8,3,3,135,0,0
"E33018190","E01033639","E02006897",2011,749,0,0,6,1,0,0,2,0,2,1,0,0,31,11,5,24,64,108,15,113,51,255,26,21,19,0,0
"E33018191","E01033639","E02006897",2011,539,1,0,5,2,0,0,0,0,1,2,1,0,2,212,15,95,28,5,2,5,13,5,11,11,127,1,0
"E33018192","E01033639","E02006897",2011,424,0,0,4,0,1,0,0,0,3,0,0,1,16,22,111,2,1,22,6,42,25,124,2,36,10,0,0
"E33018193","E01033639","E02006897",2011,588,0,0,5,0,0,0,1,1,1,2,1,0,3,28,7,1,112,242,1,26,41,5,5,100,11,0,0
"E33018194","E01033623","E02006899",2011,675,1,0,27,2,2,0,0,6,12,5,0,5,47,61,7,29,63,35,17,89,133,77,3,51,26,0,4
"E33018195","E01009159","E02001956",2011,1194,0,1,17,7,0,0,0,5,4,1,1,1,14,70,7,789,15,11,3,67,68,11,15,81,23,0,0
"E33018196","E01009159","E02001956",2011,709,1,0,11,1,0,0,2,1,6,1,1,0,3,318,5,78,20,1,1,3,17,6,158,37,49,0,0
"E33018197","E01009184","E02001918",2011,1210,0,0,215,208,0,0,0,1,2,4,0,0,8,21,13,18,7,5,12,40,14,24,67,753,13,0,0
"E33018198","E01009188","E02001918",2011,458,1,0,6,0,0,0,1,1,3,1,0,1,7,65,5,18,4,1,10,18,16,167,28,82,29,0,0
"E33018199","E01009178","E02001930",2011,539,3,0,9,0,0,0,1,1,4,3,0,0,34,65,81,82,5,17,36,25,14,6,108,31,22,1,0
"E33018200","E01009178","E02001930",2011,496,0,0,9,0,2,0,2,2,1,2,0,0,10,223,5,48,3,78,5,7,10,17,9,21,51,0,0
"E33018201","E01009178","E02001930",2011,386,0,0,8,0,1,0,0,0,4,3,0,0,0,284,5,5,3,11,6,11,8,2,6,28,9,0,0
"E33018202","E01009203","E02001869",2011,806,0,0,241,0,2,14,12,20,82,111,2,39,184,146,45,15,15,5,3,20,25,13,4,23,26,0,0
"E33018203","E01009199","E02001878",2011,850,0,1,95,15,2,2,10,39,11,16,0,21,66,297,145,22,2,10,4,14,23,100,10,32,8,0,0
"E33018204","E01009204","E02001878",2011,302,1,0,21,1,1,0,0,4,7,8,0,1,5,84,52,16,5,0,1,10,19,4,77,5,1,0,0
"E33018205","E01009204","E02001878",2011,312,0,0,18,0,1,0,2,1,10,4,1,1,56,15,156,3,4,1,0,4,12,28,10,3,0,0,0
"E33018206","E01009204","E02001878",2011,370,0,0,93,1,0,0,19,55,12,6,0,34,8,37,165,6,2,0,0,1,4,6,2,6,6,0,0
"E33018207","E01009204","E02001878",2011,255,2,0,111,21,1,12,4,52,3,18,0,1,30,54,11,4,3,3,0,3,9,3,10,10,1,0,0
"E33018208","E01033644","E02001878",2011,208,0,0,15,4,2,0,1,0,6,2,1,0,5,68,11,11,1,0,1,1,3,5,77,5,4,0,0
"E33018209","E01033644","E02001878",2011,257,0,0,28,2,0,3,0,4,7,12,2,25,28,28,106,2,1,0,0,2,4,3,2,25,1,0,0
"E33018210","E01033644","E02001878",2011,932,0,0,87,37,3,12,3,2,14,16,11,7,22,487,203,32,3,2,1,11,31,3,14,11,7,0,0
"E33018211","E01009194","E02001877",2011,327,0,0,63,1,2,2,37,7,3,11,0,1,6,29,8,5,1,1,9,10,6,6,112,65,5,0,0
"E33018212","E01009198","E02001884",2011,277,0,0,39,2,0,0,0,23,7,7,0,6,8,37,57,99,2,13,0,7,4,0,1,4,0,0,0
"E33018213","E01009198","E02001884",2011,293,0,0,67,1,7,0,2,2,18,37,0,4,28,83,25,6,1,0,3,1,15,8,3,7,42,0,0
"E33018214","E01009198","E02001884",2011,267,0,0,12,1,0,0,1,6,3,1,1,1,9,137,20,6,2,1,0,2,2,0,68,2,4,0,0
"E33018215","E01009198","E02001884",2011,327,0,0,71,1,1,0,6,26,16,21,0,0,10,86,16,15,1,2,4,0,10,2,94,7,9,0,0
"E33018216","E01009200","E02006900",2011,197,0,0,33,0,0,0,2,8,23,0,0,1,4,51,0,3,12,1,0,4,14,4,2,68,0,0,0
"E33018217","E01009200","E02006900",2011,248,0,0,15,0,0,0,1,10,4,0,0,0,22,27,39,41,0,0,2,44,7,6,15,5,25,0,0
"E33018218","E01009200","E02006900",2011,422,0,0,57,6,4,0,0,25,16,6,0,1,7,29,14,9,136,0,2,18,126,3,6,9,5,0,0
"E33018219","E01009200","E02006900",2011,745,0,0,142,4,0,1,2,73,33,29,0,4,17,93,429,28,1,0,1,4,7,1,4,8,6,0,0
"E33018220","E01009200","E02006900",2011,284,0,0,36,3,5,1,3,11,3,10,0,5,11,81,8,30,4,3,1,9,41,1,25,9,20,0,0
"E33018221","E01009200","E02006900",2011,301,0,0,38,1,1,0,2,24,7,3,0,2,16,36,2,5,3,0,1,3,2,0,185,3,5,0,0
"E33018222","E01009200","E02006900",2011,278,0,0,24,2,3,0,0,4,5,10,1,1,6,79,4,3,4,0,100,20,12,0,3,18,3,0,0
"E33018223","E01009200","E02006900",2011,965,0,0,56,1,9,1,0,9,14,22,1,0,21,105,12,34,108,11,28,112,60,3,86,230,97,1,0
"E33018224","E01009202","E02001869",2011,222,0,0,44,1,0,0,0,15,21,7,0,0,23,31,10,7,3,0,2,8,32,9,34,15,4,0,0
"E33018225","E01009202","E02001869",2011,1138,0,0,172,110,0,1,21,10,19,11,0,3,32,351,69,159,56,3,1,6,55,2,5,14,210,0,0
"E33018226","E01009202","E02001869",2011,226,1,0,30,0,0,1,2,14,1,12,0,2,36,123,13,9,1,1,0,1,2,0,3,4,0,0,0
"E33018227","E01009202","E02001869",2011,530,0,0,139,2,0,20,2,73,20,22,0,3,105,53,92,10,4,0,5,7,82,1,4,15,10,0,0
"E33018228","E01009203","E02001869",2011,275,0,0,28,0,0,0,12,4,7,5,1,34,11,23,9,6,2,2,61,11,14,18,9,32,13,1,0
"E33018229","E01009203","E02001869",2011,279,0,0,48,0,1,0,6,4,26,11,0,1,54,34,12,1,14,1,1,29,10,8,4,51,11,0,0
"E33018230","E01009203","E02001869",2011,380,4,0,92,0,0,1,1,41,40,9,2,11,74,25,135,5,4,5,0,2,6,0,5,5,5,0,0
"E33018231","E01009203","E02001869",2011,300,1,0,63,10,0,14,0,20,16,3,1,8,154,46,9,3,2,0,1,3,1,1,2,2,3,0,0
"E33018232","E01009203","E02001869",2011,242,0,0,89,1,1,1,18,40,16,12,5,4,23,29,48,2,6,1,1,3,7,8,4,5,7,0,0
"E33018233","E01009203","E02001869",2011,312,0,0,50,0,0,1,8,6,19,16,0,7,20,118,17,7,3,2,3,11,16,3,1,44,10,0,0
"E33018234","E01009203","E02001869",2011,252,0,0,137,90,1,0,8,3,21,14,1,0,52,13,3,10,1,7,0,9,10,2,1,2,4,0,0
"E33018235","E01009203","E02001869",2011,470,0,0,59,2,1,4,1,9,10,32,106,1,77,30,125,18,3,2,0,5,23,3,2,10,6,0,0
"E33018236","E01009201","E02001869",2011,258,4,0,36,0,0,0,9,14,11,2,1,4,23,25,16,24,1,2,0,4,49,3,2,49,15,0,0
"E33018237","E01009201","E02001869",2011,417,0,0,202,2,1,84,43,45,12,15,1,40,36,34,42,13,4,0,3,2,9,4,6,16,5,0,0
"E33018238","E01009201","E02001869",2011,564,0,0,155,21,0,0,1,42,56,35,4,12,19,226,6,27,0,9,6,19,14,38,7,6,16,0,0
"E33018239","E01009219","E02001946",2011,933,1,0,17,4,1,0,0,1,6,5,0,1,14,594,49,13,5,96,18,29,39,5,6,23,23,0,0
"E33018240","E01009232","E02001848",2011,452,0,0,189,3,0,5,10,98,30,43,1,3,42,92,14,14,2,4,0,27,28,5,5,7,19,0,0
"E33018241","E01009222","E02001834",2011,207,0,0,33,0,0,0,19,7,2,5,0,0,34,37,1,1,0,0,1,94,0,1,3,1,1,0,0
"E33018242","E01009222","E02001834",2011,668,1,0,198,12,0,1,31,77,32,45,0,0,121,104,28,30,20,1,0,8,18,1,10,58,70,0,0
"E33018243","E01009223","E02001839",2011,930,0,0,17,0,1,3,1,2,7,3,2,1,36,493,2,22,28,7,0,2,18,8,278,7,9,0,0
"E33018244","E01009239","E02001859",2011,339,0,0,131,1,0,0,1,5,118,6,1,0,13,37,5,38,2,1,0,7,6,12,9,26,51,0,0
"E33018245","E01009239","E02001859",2011,1179,1,0,141,10,1,12,67,24,17,10,1,5,9,541,288,10,7,87,4,20,31,5,6,13,10,0,0
"E33018246","E01009239","E02001859",2011,715,0,0,396,2,1,2,52,22,298,19,2,5,17,64,19,11,3,3,6,19,19,50,9,70,22,0,0
"E33018247","E01009239","E02001859",2011,516,0,0,19,1,9,0,0,3,3,3,0,1,18,21,3,12,3,2,16,9,46,99,16,149,102,0,0
"E33018248","E01009239","E02001859",2011,864,0,0,420,26,3,1,10,109,83,188,1,2,16,285,46,21,22,4,0,11,19,5,8,3,1,0,0
"E33018249","E01009240","E02001850",2011,316,0,0,138,2,5,1,26,40,42,22,1,3,20,44,8,5,4,5,2,13,21,3,21,23,5,0,0
"E33018250","E01009242","E02001850",2011,1210,0,0,17,3,0,0,5,5,3,1,0,1,24,827,18,98,12,43,5,19,19,17,17,63,30,0,0
"E33018251","E01009284","E02001922",2011,1423,0,0,8,0,1,0,1,0,5,1,1,1,11,40,82,30,5,15,2,22,22,202,24,941,16,1,0
"E33018252","E01009280","E02001926",2011,687,0,0,29,2,0,1,0,0,2,24,1,1,21,28,8,12,9,10,30,4,11,34,150,330,9,0,0
"E33018253","E01009281","E02001925",2011,230,0,0,30,26,1,0,0,0,0,3,0,0,6,47,1,11,3,10,20,10,8,3,22,23,36,0,0
"E33018254","E01009281","E02001925",2011,306,2,0,7,0,0,0,0,0,0,7,1,0,8,7,0,8,1,7,80,11,6,1,128,35,4,0,0
"E33018255","E01009303","E02001883",2011,633,0,0,257,5,26,3,3,46,112,62,4,1,60,65,71,7,3,13,0,5,68,5,15,5,54,0,0
"E33018256","E01009306","E02001872",2011,218,0,0,114,2,0,0,1,77,28,6,1,1,12,11,53,3,0,2,0,9,3,0,3,4,2,0,0
"E33018257","E01009315","E02001907",2011,810,0,0,7,0,0,0,1,0,1,5,1,2,6,147,7,11,4,529,1,3,19,28,9,25,11,0,0
"E33018258","E01009315","E02001907",2011,560,0,0,11,0,0,0,0,2,5,4,2,0,20,216,9,27,70,14,4,16,18,25,8,109,11,0,0
"E33018259","E01009320","E02001907",2011,252,0,0,12,2,0,0,2,2,1,5,0,1,12,29,5,55,8,15,18,16,6,3,4,52,16,0,0
"E33018260","E01009320","E02001907",2011,375,0,0,31,2,0,0,0,3,23,3,0,24,23,57,35,4,3,5,3,14,85,11,8,60,12,0,0
"E33018261","E01009320","E02001907",2011,247,0,0,12,0,0,0,0,1,2,9,0,2,19,55,8,33,28,10,2,7,17,1,8,35,10,0,0
"E33018262","E01009320","E02001907",2011,694,0,0,3,0,0,0,0,0,2,1,2,1,32,76,10,48,84,60,1,6,327,14,6,5,19,0,0
"E33018263","E01009321","E02001895",2011,739,0,0,313,8,1,0,2,18,125,159,0,3,34,132,52,11,1,6,0,79,18,73,4,2,11,0,0
"E33018264","E01009322","E02001895",2011,994,0,0,448,291,2,0,21,67,39,28,1,4,19,111,203,36,0,19,4,13,42,6,8,70,10,0,0
"E33018265","E01009322","E02001895",2011,787,0,0,122,14,0,0,2,32,17,57,1,2,145,127,111,6,6,8,5,76,86,62,9,5,16,0,0
"E33018266","E01009322","E02001895",2011,350,0,1,120,10,13,1,2,3,77,14,0,1,20,101,38,3,0,7,1,13,22,2,5,10,6,0,0
"E33018267","E01009332","E02006900",2011,308,0,0,16,0,0,0,0,6,3,7,0,0,5,169,7,17,1,11,2,5,5,6,14,14,36,0,0
